id,request_id,step_type,step_order,status,assignee_email,assignee_name,due_at,responded_at,response_action,response_note,teams_message_id,teams_channel_id,teams_chat_id,created_at,updated_at
08d11ca5-86d0-4925-9918-8aed3e8c8bec,134e295a-a1d4-4b58-8cfd-2eaf3754a282,mgr_approval,2,pending,eng.manager@tanisitech.onmicrosoft.com,Hiring Manager,2026-05-06 23:58:56.244+00,2026-05-06 20:27:06.149+00,approved,,,,,2026-05-06 15:58:56.409486+00,2026-05-06 15:58:56.409486+00
1f6445a1-6bbf-407a-b57d-49332f8b927d,1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,hr_approval,1,approved,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-11 18:02:00.541+00,2026-05-10 18:02:38.839+00,approved,,email-dispatched,,,2026-05-10 18:02:00.697483+00,2026-05-10 18:02:01.598+00
30c69255-6781-49e1-96fb-11a632c42935,134e295a-a1d4-4b58-8cfd-2eaf3754a282,it_approval,2,approved,it.manager@tanisitech.onmicrosoft.com,IT Manager,2026-05-06 20:09:49.889+00,2026-05-06 20:37:37.199+00,approved,,email-dispatched,,,2026-05-06 12:09:50.475435+00,2026-05-06 14:24:36.965+00
3b66a6ab-7f38-4bd5-a467-cb70613ba3b7,4a3b5cec-1df0-4034-9de1-640dc4ecedcc,hr_approval,1,approved,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-13 10:19:10.193+00,2026-05-12 10:20:10.59+00,approved,,email-dispatched,,,2026-05-12 10:19:10.335859+00,2026-05-12 10:19:12.197+00
46280e0c-d56f-40eb-87d6-ac6cae7098b2,fb922aa5-d7b8-466f-8df0-b7fce41d6a88,hr_approval,1,pending,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-06 20:32:58.374+00,,,,email-dispatched,,,2026-05-05 20:32:58.574235+00,2026-05-05 20:32:59.492+00
54da8eec-4962-4bd3-8fee-68a51f2d74e5,4a3b5cec-1df0-4034-9de1-640dc4ecedcc,mgr_approval,2,approved,eng.manager@tanisitech.onmicrosoft.com,Hiring Manager,2026-05-12 18:20:16.624+00,2026-05-12 10:22:28.292+00,approved,,email-dispatched,,,2026-05-12 10:20:16.746952+00,2026-05-12 10:20:17.898+00
5be33d67-e7bc-4886-8103-e6201b9ded68,2e535d94-7d9d-47cb-ade8-a088c9cc2814,mgr_approval,2,approved,eng.manager@tanisitech.onmicrosoft.com,Hiring Manager,2026-05-12 18:43:40.2+00,2026-05-12 10:44:15.893+00,approved,,email-dispatched,,,2026-05-12 10:43:40.323949+00,2026-05-12 10:43:41.295+00
661b756d-e4d6-4347-98ba-276e48b8b9fc,506d4685-ea30-4e62-a18a-6746bdd7960c,hr_approval,1,pending,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-06 20:42:55.435+00,,,,email-dispatched,,,2026-05-05 20:42:55.613671+00,2026-05-05 20:42:56.58+00
86628426-f387-4ebe-9e3e-417f33ff680c,134e295a-a1d4-4b58-8cfd-2eaf3754a282,hr_approval,1,approved,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-06 20:28:13.164+00,2026-05-06 20:27:06.149+00,approved,,email-dispatched,,,2026-05-05 20:28:13.349471+00,2026-05-05 20:28:14.955+00
9e238f24-2d6c-48d9-abd6-fc20761a8b28,fa6e934d-1733-4a2e-8b47-b009e3f90ad2,hr_approval,1,pending,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-06 20:25:36.158+00,,,,email-dispatched,,,2026-05-05 20:25:36.343213+00,2026-05-05 20:25:37.281+00
b6a643f0-b25c-4f47-ad36-9da521f3956d,4a3b5cec-1df0-4034-9de1-640dc4ecedcc,it_approval,2,approved,it.manager@tanisitech.onmicrosoft.com,IT Manager,2026-05-12 18:20:14.194+00,2026-05-12 10:21:33.375+00,approved,,email-dispatched,,,2026-05-12 10:20:14.327547+00,2026-05-12 10:20:15.879+00
ba6f1a18-3ac3-46b2-be67-6c5b6b9b27db,2e535d94-7d9d-47cb-ade8-a088c9cc2814,it_approval,2,approved,it.manager@tanisitech.onmicrosoft.com,IT Manager,2026-05-12 18:43:38.309+00,2026-05-12 10:45:00.209+00,approved,,email-dispatched,,,2026-05-12 10:43:38.425363+00,2026-05-12 10:43:39.457+00
c36eadbe-f36f-48e1-bfa3-363a142fe09a,1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,it_approval,2,approved,it.manager@tanisitech.onmicrosoft.com,IT Manager,2026-05-11 02:02:41.727+00,2026-05-10 18:05:42.161+00,approved,,email-dispatched,,,2026-05-10 18:02:41.901675+00,2026-05-10 18:02:42.814+00
dfb6562d-0102-4a8c-a92b-6f291f5e15c4,1c9ee2a1-c3e9-4546-a210-c301dfdbebdc,mgr_approval,2,pending,eng.manager@tanisitech.onmicrosoft.com,Hiring Manager,2026-05-11 02:02:43.595+00,,pending,,email-dispatched,,,2026-05-10 18:02:43.745332+00,2026-05-10 18:02:44.678+00
fb64bd84-bc26-41ac-87b8-9867fbd70e2c,2e535d94-7d9d-47cb-ade8-a088c9cc2814,hr_approval,1,approved,hr.manager@tanisitech.onmicrosoft.com,Priya Sharma,2026-05-13 10:43:16.232+00,2026-05-12 10:43:35.673+00,approved,,email-dispatched,,,2026-05-12 10:43:16.377262+00,2026-05-12 10:43:17.722+00
